longitude,latitude,light_intensity,geometry,index_right,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,light_intensity_category,avg_d_kbps_category,avg_u_kbps_category
56.30833522,26.07083294,0,POINT (56.30833522380002 26.0708329419),3285835,1.23E+15,72710,28746,27,5,2,Low,moderate,slow
56.31250189,26.07083294,0,POINT (56.31250189050002 26.0708329419),3285836,1.23E+15,119443,36785,24,9,2,Low,moderate,slow
56.31666856,26.07083294,0,POINT (56.316668557200025 26.0708329419),3285837,1.23E+15,240717,8861,21,1,1,Low,fast,slow
56.32083522,26.07083294,0,POINT (56.32083522390002 26.0708329419),3285837,1.23E+15,240717,8861,21,1,1,Low,fast,slow
56.30833522,26.06666628,0,POINT (56.30833522380002 26.066666275200003),3285835,1.23E+15,72710,28746,27,5,2,Low,moderate,slow
56.31250189,26.06666628,0,POINT (56.31250189050002 26.066666275200003),3285836,1.23E+15,119443,36785,24,9,2,Low,moderate,slow
56.31666856,26.06666628,0,POINT (56.316668557200025 26.066666275200003),3285837,1.23E+15,240717,8861,21,1,1,Low,fast,slow
56.32083522,26.06666628,0,POINT (56.32083522390002 26.066666275200003),3285837,1.23E+15,240717,8861,21,1,1,Low,fast,slow
56.31666856,26.06249961,0,POINT (56.316668557200025 26.0624996085),3285840,1.23E+15,57927,1662,20,1,1,Low,moderate,slow
56.32083522,26.06249961,0,POINT (56.32083522390002 26.0624996085),3285840,1.23E+15,57927,1662,20,1,1,Low,moderate,slow
56.32916856,26.06249961,0,POINT (56.32916855730002 26.0624996085),3285843,1.23E+15,93481,55191,34,1,1,Low,moderate,moderate
56.31666856,26.05833294,0,POINT (56.316668557200025 26.058332941800003),3285841,1.23E+15,79092,61148,24,1,1,Low,moderate,moderate
56.32083522,26.05833294,0,POINT (56.32083522390002 26.058332941800003),3285841,1.23E+15,79092,61148,24,1,1,Low,moderate,moderate
56.32500189,26.05833294,0,POINT (56.32500189060002 26.058332941800003),3285842,1.23E+15,101145,41806,23,12,2,Low,moderate,slow
56.32916856,26.05833294,0,POINT (56.32916855730002 26.058332941800003),3285844,1.23E+15,78425,49650,17,3,1,Low,moderate,slow
56.08750189,26.05416628,0,POINT (56.087501888700025 26.0541662751),3274665,1.23E+15,90963,91474,19,2,1,Low,moderate,moderate
56.33333522,26.05416628,0,POINT (56.33333522400002 26.0541662751),3285845,1.23E+15,83072,32874,20,1,1,Low,moderate,slow
56.33750189,26.05416628,0,POINT (56.337501890700025 26.0541662751),3285845,1.23E+15,83072,32874,20,1,1,Low,moderate,slow
56.08750189,26.04999961,174,POINT (56.087501888700025 26.0499996084),3274666,1.23E+15,59933,16929,5,13,5,High,moderate,slow
56.37500189,26.04999961,0,POINT (56.375001891000025 26.0499996084),3285846,1.23E+15,83048,50558,21,4,2,Low,moderate,moderate
56.08750189,26.04583294,177,POINT (56.087501888700025 26.0458329417),3274667,1.23E+15,222327,127616,4,14,4,High,fast,moderate
56.14583522,26.04583294,173,POINT (56.145835222500025 26.0458329417),3274670,1.23E+15,1012,640,155,1,1,High,slow,slow
56.15000189,26.04583294,173,POINT (56.15000188920002 26.0458329417),3274670,1.23E+15,1012,640,155,1,1,High,slow,slow
56.08750189,26.04166628,178,POINT (56.087501888700025 26.041666275),3274668,1.23E+15,236225,95379,4,5,2,High,fast,moderate
56.10416856,26.04166628,176,POINT (56.10416855550002 26.041666275),3274669,1.23E+15,452708,270852,6,5,3,High,fast,fast
56.08750189,26.03749961,177,POINT (56.087501888700025 26.037499608300003),3274668,1.23E+15,236225,95379,4,5,2,High,fast,moderate
56.10416856,26.03749961,176,POINT (56.10416855550002 26.037499608300003),3274669,1.23E+15,452708,270852,6,5,3,High,fast,fast
56.09166856,26.03333294,176,POINT (56.09166855540002 26.0333329416),3274674,1.23E+15,26012,21538,10,1,1,High,slow,slow
56.09583522,26.03333294,175,POINT (56.09583522210002 26.0333329416),3274674,1.23E+15,26012,21538,10,1,1,High,slow,slow
56.10000189,26.03333294,173,POINT (56.10000188880002 26.0333329416),3274681,1.23E+15,185233,116203,7,51,14,High,fast,moderate
56.10416856,26.03333294,175,POINT (56.10416855550002 26.0333329416),3274682,1.23E+15,192018,105140,5,40,16,High,fast,moderate
56.10833522,26.03333294,174,POINT (56.108335222200026 26.0333329416),3274685,1.23E+15,311056,255169,6,3,2,High,fast,fast
56.11250189,26.03333294,174,POINT (56.11250188890002 26.0333329416),3274685,1.23E+15,311056,255169,6,3,2,High,fast,fast
56.11666856,26.03333294,176,POINT (56.11666855560002 26.0333329416),3274686,1.23E+15,271615,139525,6,11,5,High,fast,moderate
56.12083522,26.03333294,175,POINT (56.12083522230002 26.0333329416),3274700,1.23E+15,194323,108061,5,7,6,High,fast,moderate
56.12500189,26.03333294,175,POINT (56.125001889000025 26.0333329416),3274701,1.23E+15,198997,168341,8,16,8,High,fast,fast
56.12916856,26.03333294,174,POINT (56.12916855570002 26.0333329416),3274702,1.23E+15,221150,146867,7,4,2,High,fast,moderate
56.13333522,26.03333294,173,POINT (56.13333522240002 26.0333329416),3274702,1.23E+15,221150,146867,7,4,2,High,fast,moderate
56.14166856,26.03333294,170,POINT (56.14166855580002 26.0333329416),3274707,1.23E+15,439507,202072,6,3,3,High,fast,fast
56.08333522,26.02916627,175,POINT (56.08333522200002 26.029166274900003),3274673,1.23E+15,228040,70855,4,9,4,High,fast,moderate
56.08750189,26.02916627,177,POINT (56.087501888700025 26.029166274900003),3274675,1.23E+15,368446,158615,5,3,2,High,fast,fast
56.09166856,26.02916627,177,POINT (56.09166855540002 26.029166274900003),3274676,1.23E+15,331945,224670,11,7,3,High,fast,fast
56.09583522,26.02916627,175,POINT (56.09583522210002 26.029166274900003),3274676,1.23E+15,331945,224670,11,7,3,High,fast,fast
56.10000189,26.02916627,173,POINT (56.10000188880002 26.029166274900003),3274683,1.23E+15,129971,70947,6,11,8,High,moderate,moderate
56.10416856,26.02916627,173,POINT (56.10416855550002 26.029166274900003),3274684,1.23E+15,176947,121194,7,41,9,High,fast,moderate
56.10833522,26.02916627,174,POINT (56.108335222200026 26.029166274900003),3274687,1.23E+15,253903,128425,5,6,3,High,fast,moderate
56.11250189,26.02916627,173,POINT (56.11250188890002 26.029166274900003),3274687,1.23E+15,253903,128425,5,6,3,High,fast,moderate
56.11666856,26.02916627,176,POINT (56.11666855560002 26.029166274900003),3274688,1.23E+15,266441,143018,6,17,4,High,fast,moderate
56.12916856,26.02916627,172,POINT (56.12916855570002 26.029166274900003),3274703,1.23E+15,321778,96239,7,1,1,High,fast,moderate
56.13333522,26.02916627,172,POINT (56.13333522240002 26.029166274900003),3274703,1.23E+15,321778,96239,7,1,1,High,fast,moderate
56.08333522,26.02499961,175,POINT (56.08333522200002 26.0249996082),3274677,1.23E+15,144161,93230,10,17,7,High,moderate,moderate
56.08750189,26.02499961,177,POINT (56.087501888700025 26.0249996082),3274679,1.23E+15,298637,127373,9,15,5,High,fast,moderate
56.12083522,26.02499961,174,POINT (56.12083522230002 26.0249996082),3274704,1.23E+15,454513,333046,5,1,1,High,fast,fast
56.12500189,26.02499961,173,POINT (56.125001889000025 26.0249996082),3274705,1.23E+15,175794,79256,16,2,2,High,fast,moderate
56.08333522,26.02083294,177,POINT (56.08333522200002 26.0208329415),3274678,1.23E+15,242213,160874,7,35,13,High,fast,fast
56.08750189,26.02083294,179,POINT (56.087501888700025 26.0208329415),3274680,1.23E+15,299268,75771,5,28,3,High,fast,moderate
56.12083522,26.02083294,173,POINT (56.12083522230002 26.0208329415),3274706,1.23E+15,201672,162279,7,18,3,High,fast,fast
56.08333522,26.01666627,178,POINT (56.08333522200002 26.0166662748),3274689,1.23E+15,331248,279343,4,1,1,High,fast,fast
56.08750189,26.01666627,178,POINT (56.087501888700025 26.0166662748),3274692,1.23E+15,226542,187440,6,2,2,High,fast,fast
56.12916856,26.01666627,172,POINT (56.12916855570002 26.0166662748),3274708,1.23E+15,91342,84529,8,1,1,High,moderate,moderate
56.13333522,26.01666627,169,POINT (56.13333522240002 26.0166662748),3274708,1.23E+15,91342,84529,8,1,1,High,moderate,moderate
56.08333522,26.01249961,178,POINT (56.08333522200002 26.0124996081),3274689,1.23E+15,331248,279343,4,1,1,High,fast,fast
56.08750189,26.01249961,177,POINT (56.087501888700025 26.0124996081),3274692,1.23E+15,226542,187440,6,2,2,High,fast,fast
56.12916856,26.01249961,169,POINT (56.12916855570002 26.0124996081),3274708,1.23E+15,91342,84529,8,1,1,High,moderate,moderate
56.13333522,26.01249961,171,POINT (56.13333522240002 26.0124996081),3274708,1.23E+15,91342,84529,8,1,1,High,moderate,moderate
56.07500189,26.00833294,0,POINT (56.07500188860002 26.008332941400003),3274690,1.23E+15,54443,51873,7,5,3,Low,moderate,moderate
56.07916856,26.00833294,177,POINT (56.07916855530002 26.008332941400003),3274690,1.23E+15,54443,51873,7,5,3,High,moderate,moderate
56.08333522,26.00833294,178,POINT (56.08333522200002 26.008332941400003),3274691,1.23E+15,359527,226772,7,10,3,High,fast,fast
56.08750189,26.00833294,178,POINT (56.087501888700025 26.008332941400003),3274693,1.23E+15,453914,321221,7,1,1,High,fast,fast
56.07500189,26.00416627,0,POINT (56.07500188860002 26.0041662747),3274694,1.23E+15,328890,204211,7,18,4,Low,fast,fast
56.07916856,26.00416627,177,POINT (56.07916855530002 26.0041662747),3274694,1.23E+15,328890,204211,7,18,4,High,fast,fast
56.08333522,26.00416627,176,POINT (56.08333522200002 26.0041662747),3274695,1.23E+15,273884,114288,6,17,5,High,fast,moderate
56.08750189,26.00416627,177,POINT (56.087501888700025 26.0041662747),3274698,1.23E+15,47108,53970,8,2,1,High,slow,moderate
56.07500189,25.99999961,175,POINT (56.07500188860002 25.999999608000003),3274696,1.23E+15,360469,220196,7,83,9,High,fast,fast
56.07916856,25.99999961,177,POINT (56.07916855530002 25.999999608000003),3274696,1.23E+15,360469,220196,7,83,9,High,fast,fast
56.08333522,25.99999961,174,POINT (56.08333522200002 25.999999608000003),3274697,1.23E+15,249006,142832,6,59,9,High,fast,moderate
56.08750189,25.99999961,175,POINT (56.087501888700025 25.999999608000003),3274699,1.23E+15,24659,25162,7,10,2,High,slow,slow
56.07083522,25.99583294,0,POINT (56.070835221900026 25.9958329413),3274654,1.23E+15,348834,217706,6,2,1,Low,fast,fast
56.07500189,25.99583294,176,POINT (56.07500188860002 25.9958329413),3274709,1.23E+15,582738,317882,7,3,2,High,fast,fast
56.07916856,25.99583294,178,POINT (56.07916855530002 25.9958329413),3274709,1.23E+15,582738,317882,7,3,2,High,fast,fast
56.08333522,25.99583294,176,POINT (56.08333522200002 25.9958329413),3274710,1.23E+15,97159,49913,6,9,2,High,moderate,slow
56.14583522,25.99583294,169,POINT (56.145835222500025 25.9958329413),3274723,1.23E+15,238823,170045,9,2,1,High,fast,fast
56.15000189,25.99583294,169,POINT (56.15000188920002 25.9958329413),3274723,1.23E+15,238823,170045,9,2,1,High,fast,fast
56.08333522,25.99166627,177,POINT (56.08333522200002 25.9916662746),3274711,1.23E+15,203756,67644,7,12,2,High,fast,moderate
56.08333522,25.98749961,176,POINT (56.08333522200002 25.9874996079),3274712,1.23E+15,173609,120998,6,52,12,High,fast,moderate
56.08750189,25.98749961,173,POINT (56.087501888700025 25.9874996079),3274713,1.23E+15,285663,175754,7,10,2,High,fast,fast
56.12083522,25.98749961,172,POINT (56.12083522230002 25.9874996079),3274721,1.23E+15,434142,251115,7,3,2,High,fast,fast
56.08333522,25.98333294,174,POINT (56.08333522200002 25.9833329412),3274712,1.23E+15,173609,120998,6,52,12,High,fast,moderate
56.08750189,25.98333294,174,POINT (56.087501888700025 25.9833329412),3274713,1.23E+15,285663,175754,7,10,2,High,fast,fast
56.12083522,25.98333294,172,POINT (56.12083522230002 25.9833329412),3274721,1.23E+15,434142,251115,7,3,2,High,fast,fast
56.06666856,25.97916627,172,POINT (56.066668555200025 25.9791662745),3274655,1.23E+15,154778,41753,4,14,1,High,fast,slow
56.10416856,25.97916627,172,POINT (56.10416855550002 25.9791662745),3274714,1.23E+15,10608,3209,17,1,1,High,slow,slow
56.10833522,25.97916627,170,POINT (56.108335222200026 25.9791662745),3274715,1.23E+15,615069,321801,6,1,1,High,fast,fast
56.11250189,25.97916627,173,POINT (56.11250188890002 25.9791662745),3274715,1.23E+15,615069,321801,6,1,1,High,fast,fast
56.11666856,25.97916627,172,POINT (56.11666855560002 25.9791662745),3274716,1.23E+15,345314,232133,6,8,4,High,fast,fast
56.12500189,25.97916627,169,POINT (56.125001889000025 25.9791662745),3274722,1.23E+15,240229,179146,8,3,1,High,fast,fast
56.05833522,25.97499961,174,POINT (56.05833522180002 25.9749996078),3274656,1.23E+15,43752,53887,6,1,1,High,slow,moderate
56.06250189,25.97499961,172,POINT (56.06250188850002 25.9749996078),3274656,1.23E+15,43752,53887,6,1,1,High,slow,moderate
56.06666856,25.97499961,166,POINT (56.066668555200025 25.9749996078),3274658,1.23E+15,18298,9353,5,2,2,High,slow,slow
56.08333522,25.97499961,177,POINT (56.08333522200002 25.9749996078),3274717,1.23E+15,42998,4054,6,1,1,High,slow,slow
56.10833522,25.97499961,172,POINT (56.108335222200026 25.9749996078),3274718,1.23E+15,190001,247999,8,1,1,High,fast,fast
56.11250189,25.97499961,173,POINT (56.11250188890002 25.9749996078),3274718,1.23E+15,190001,247999,8,1,1,High,fast,fast
56.11666856,25.97499961,173,POINT (56.11666855560002 25.9749996078),3274719,1.23E+15,235883,188222,11,15,4,High,fast,fast
56.05416856,25.97083294,175,POINT (56.05416855510002 25.970832941100003),3274657,1.23E+15,211654,73757,7,5,2,High,fast,moderate
56.05416856,25.96666627,175,POINT (56.05416855510002 25.9666662744),3274659,1.23E+15,193386,133284,12,18,8,High,fast,moderate
56.05833522,25.96666627,174,POINT (56.05833522180002 25.9666662744),3274660,1.23E+15,431834,226576,8,2,1,High,fast,fast
56.06250189,25.96666627,172,POINT (56.06250188850002 25.9666662744),3274660,1.23E+15,431834,226576,8,2,1,High,fast,fast
56.05416856,25.96249961,174,POINT (56.05416855510002 25.962499607700003),3274661,1.23E+15,92611,8931,17,3,1,High,moderate,slow
56.05833522,25.96249961,175,POINT (56.05833522180002 25.962499607700003),3274662,1.23E+15,409964,42224,7,1,1,High,fast,slow
